Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
B2,1,Infinity,-Infinity,Infinity
A2,2,-Infinity,-Infinity,Infinity
B2,3,Infinity,-Infinity,Infinity
A3,4,Infinity,-Infinity,Infinity
A2,4,Infinity,-Infinity,Infinity
A4,4,-Infinity,-Infinity,Infinity
B3,5,-3,-Infinity,Infinity
B3,5,Infinity,-Infinity,Infinity
A2,4,Infinity,-Infinity,Infinity
A3,4,Infinity,-Infinity,Infinity
A4,4,-Infinity,-Infinity,Infinity
B3,5,-1,-Infinity,Infinity
B3,5,Infinity,-Infinity,Infinity
A3,4,Infinity,-Infinity,Infinity
B2,3,Infinity,-Infinity,Infinity
A4,4,-Infinity,-Infinity,Infinity
B3,5,-1,-Infinity,Infinity
B3,5,Infinity,-Infinity,Infinity
B2,3,Infinity,-Infinity,Infinity
B3,5,Infinity,-Infinity,Infinity
B2,1,Infinity,-Infinity,Infinity
A3,2,Infinity,-Infinity,Infinity
A2,2,-Infinity,-Infinity,Infinity
B2,3,Infinity,-Infinity,Infinity
A4,4,-Infinity,-Infinity,Infinity
B3,5,-2,-Infinity,Infinity
B3,5,Infinity,-Infinity,Infinity
B2,3,Infinity,-Infinity,Infinity
B3,5,Infinity,-Infinity,Infinity
A3,2,Infinity,-Infinity,Infinity
A4,2,-Infinity,-Infinity,Infinity
B3,3,Infinity,-Infinity,Infinity
A2,4,-Infinity,-Infinity,Infinity
B2,5,-1,-Infinity,Infinity
B2,5,Infinity,-Infinity,Infinity
B3,3,Infinity,-Infinity,Infinity
A3,4,-Infinity,-Infinity,Infinity
B4,5,1,-Infinity,Infinity
B4,5,Infinity,-Infinity,Infinity
B3,3,Infinity,-Infinity,Infinity
A4,4,-Infinity,-Infinity,Infinity
B4,5,1,-Infinity,Infinity
B4,5,Infinity,-Infinity,Infinity
B3,3,Infinity,-Infinity,Infinity
B2,5,Infinity,-Infinity,Infinity
A3,2,Infinity,-Infinity,Infinity
B2,1,Infinity,-Infinity,Infinity
A4,2,-Infinity,-Infinity,Infinity
B3,3,Infinity,-Infinity,Infinity
A2,4,-Infinity,-Infinity,Infinity
B2,5,0,-Infinity,Infinity
B2,5,Infinity,-Infinity,Infinity
B3,3,Infinity,-Infinity,Infinity
A3,4,-Infinity,-Infinity,Infinity
B2,5,1,-Infinity,Infinity
B2,5,Infinity,-Infinity,Infinity
B3,3,Infinity,-Infinity,Infinity
A4,4,-Infinity,-Infinity,Infinity
B4,5,2,-Infinity,Infinity
B4,5,Infinity,-Infinity,Infinity
B3,3,Infinity,-Infinity,Infinity
B2,5,Infinity,-Infinity,Infinity
B2,1,Infinity,-Infinity,Infinity
B3,5,Infinity,-Infinity,Infinity
